,Name,Event,Time (s),Model,value,error
80,23,0,52.95,Linear Regression,52.917647029491235,0.03235297050876795
81,22,12,21.72,Linear Regression,21.076645407910657,0.6433545920893415
82,21,5,119.26,Linear Regression,121.08174086104277,-1.8217408610427697
83,21,5,119.06,Linear Regression,119.55665112001871,-0.49665112001871137
84,20,13,465.11,Linear Regression,445.9742691268403,19.13573087315973
85,20,4,904.26,Linear Regression,832.3301843354303,71.92981566456967
86,19,12,21.57,Linear Regression,20.817878859276064,0.7521211407239363
87,18,13,461.87,Linear Regression,449.0659871962806,12.804012803719388
88,18,4,879.65,Linear Regression,826.5634915491452,53.08650845085481
89,17,6,127.93,Linear Regression,125.3866248022119,2.5433751977881087
90,16,12,21.07,Linear Regression,21.039187737199637,0.030812262800363754
91,16,3,47.02,Linear Regression,46.64729391905146,0.3727060809485465
92,16,2,49.45,Linear Regression,49.968098997078236,-0.5180989970782335
93,15,10,224.88,Linear Regression,215.62495301725363,9.255046982746364
94,14,9,116.17,Linear Regression,117.51175832493475,-1.3417583249347445
95,13,8,104.22,Linear Regression,108.8441589209447,-4.624158920944694
96,12,7,115.19,Linear Regression,109.89450297413164,5.295497025868357
97,11,12,21.79,Linear Regression,21.72877486211925,0.06122513788075068
98,10,9,117.68,Linear Regression,109.96805127420197,7.711948725798038
99,9,13,473.31,Linear Regression,454.7853066606541,18.5246933393459
100,8,11,251.22,Linear Regression,246.90042973116434,4.319570268835662
101,8,9,117.7,Linear Regression,124.66647182789644,-6.9664718278964415
102,7,6,127.24,Linear Regression,123.2012130256687,4.038786974331302
103,6,7,115.88,Linear Regression,122.0417999533733,-6.161799953373304
104,5,3,47.08,Linear Regression,46.74894857118076,0.33105142881923655
105,4,0,52.3,Linear Regression,53.54970541232277,-1.2497054123227755
106,3,7,114.45,Linear Regression,115.31283570205862,-0.8628357020586179
107,2,7,115.46,Linear Regression,112.88768314057012,2.5723168594298755
108,1,13,469.14,Linear Regression,445.00605410011815,24.133945899881837
109,1,10,224.07,Linear Regression,222.71259278298734,1.3574072170126499
110,1,4,903.47,Linear Regression,829.7895279654531,73.68047203454694
111,0,12,21.6,Linear Regression,21.46362944108521,0.13637055891479122
112,0,9,117.31,Linear Regression,116.51722004100942,0.7927799589905788
113,0,1,58.84,Linear Regression,58.87321641428733,-0.033216414287323914
114,88,12,21.78,Random Forest,21.975940000000072,-0.19594000000007128
115,87,1,58.99,Random Forest,59.26628999999987,-0.27628999999986803
116,86,0,52.51,Random Forest,52.960660000000104,-0.45066000000010575
117,85,10,225.2,Random Forest,224.58671999999882,0.6132800000011684
118,84,1,58.99,Random Forest,59.41889333333366,-0.42889333333366153
119,83,6,128.19,Random Forest,130.20504000000005,-2.015040000000056
120,83,1,58.96,Random Forest,59.62709999999974,-0.667099999999742
121,82,13,462.68,Random Forest,466.4092400000002,-3.729240000000175
122,82,4,880.91,Random Forest,881.5546600000001,-0.6446600000001581
123,81,9,115.0,Random Forest,116.68816000000014,-1.6881600000001384
124,80,11,250.59,Random Forest,250.83459999999894,-0.24459999999893967
125,79,2,50.92,Random Forest,50.791680000000206,0.12831999999979615
126,78,5,116.15,Random Forest,117.2861200000003,-1.1361200000002896
127,77,6,126.38,Random Forest,126.87189999999967,-0.49189999999967426
128,76,10,223.94,Random Forest,224.16052000000113,-0.22052000000113026
129,76,8,105.12,Random Forest,105.64758000000013,-0.5275800000001283
130,75,11,250.38,Random Forest,250.64442000000096,-0.26442000000096755
131,74,1,59.36,Random Forest,59.55072000000016,-0.19072000000016232
132,73,9,116.22,Random Forest,117.33050000000026,-1.1105000000002576
133,72,9,115.28,Random Forest,117.25156000000014,-1.9715600000001388
134,72,8,104.26,Random Forest,105.65441999999962,-1.394419999999613
135,71,8,104.66,Random Forest,105.71582000000014,-1.0558200000001392
136,70,5,113.27,Random Forest,114.43274000000032,-1.1627400000003263
137,70,0,51.98,Random Forest,52.853779999999965,-0.873779999999968
138,69,13,462.33,Random Forest,470.9251199999979,-8.595119999997905
139,69,4,880.66,Random Forest,880.4781999999998,0.18180000000018026
140,68,11,251.32,Random Forest,251.52914000000195,-0.20914000000195188
141,67,8,105.78,Random Forest,106.01237999999972,-0.23237999999972203
142,66,12,21.72,Random Forest,21.59868000000001,0.1213199999999901
143,65,8,104.68,Random Forest,105.36571999999995,-0.6857199999999466
144,65,3,48.04,Random Forest,47.4147799999998,0.6252200000001977
145,64,2,50.74,Random Forest,51.46711999999994,-0.7271199999999354
146,63,6,128.88,Random Forest,130.19349999999966,-1.3134999999996637
147,62,1,57.37,Random Forest,57.725399999999986,-0.35539999999998884
148,61,13,462.11,Random Forest,463.3718399999982,-1.2618399999981875
149,61,4,885.01,Random Forest,878.2148199999954,6.7951800000046205
150,60,3,48.1,Random Forest,48.48628000000003,-0.3862800000000277
151,59,5,114.15,Random Forest,115.37719999999987,-1.2271999999998684
152,59,0,52.19,Random Forest,52.64916000000028,-0.45916000000028134
153,58,6,128.42,Random Forest,129.52216,-1.1021600000000262
154,57,10,224.07,Random Forest,224.2203000000019,-0.1503000000019199
155,56,10,225.39,Random Forest,225.57584000000006,-0.18584000000006995
156,55,3,47.86,Random Forest,47.811539999999944,0.04846000000005546
157,54,2,50.88,Random Forest,51.70975999999982,-0.8297599999998155
158,53,7,111.25,Random Forest,113.41508000000023,-2.1650800000002306
159,53,2,49.68,Random Forest,50.38509999999997,-0.7050999999999732
160,52,2,51.49,Random Forest,51.90753999999989,-0.4175399999998888
161,51,5,115.49,Random Forest,115.87080000000023,-0.3808000000002352
162,50,13,465.0,Random Forest,465.6088200000009,-0.6088200000008896
163,50,10,223.52,Random Forest,223.76376000000053,-0.24376000000052045
164,49,6,127.13,Random Forest,129.24640000000016,-2.1164000000001693
165,48,4,895.85,Random Forest,908.6923999999991,-12.842399999999088
166,47,2,51.09,Random Forest,51.68855999999994,-0.5985599999999351
167,46,1,58.33,Random Forest,58.514620000000214,-0.1846200000002156
168,45,11,251.16,Random Forest,250.96214000000134,0.19785999999865567
169,44,12,21.55,Random Forest,21.633560000000017,-0.08356000000001629
170,43,8,105.01,Random Forest,105.15630000000027,-0.14630000000026655
171,42,2,50.92,Random Forest,51.6544200000001,-0.7344200000000995
172,41,11,250.28,Random Forest,250.4753399999993,-0.1953399999993053
173,40,11,250.59,Random Forest,251.21901999999838,-0.629019999998377
174,39,7,114.93,Random Forest,115.90105999999938,-0.971059999999369
175,38,0,52.79,Random Forest,53.0590600000004,-0.2690600000004011
176,37,3,47.44,Random Forest,47.33977999999995,0.10022000000004994
177,37,0,52.0,Random Forest,52.501960000000025,-0.5019600000000253
178,36,7,114.52,Random Forest,115.36814000000015,-0.8481400000001571
179,35,5,116.39,Random Forest,118.35538000000012,-1.965380000000124
180,34,6,127.01,Random Forest,127.64774000000061,-0.6377400000006048
181,34,1,58.0,Random Forest,58.15856000000024,-0.15856000000024295
182,33,11,249.42,Random Forest,249.79373999999845,-0.3737399999984632
183,32,4,895.48,Random Forest,908.2571599999994,-12.777159999999412
184,31,5,117.32,Random Forest,116.11237999999956,1.207620000000432
185,30,8,105.26,Random Forest,105.26153999999961,-0.001539999999607744
186,30,3,47.82,Random Forest,48.00842000000006,-0.18842000000005754
187,29,7,113.73,Random Forest,114.00038000000012,-0.27038000000011664
188,28,9,117.49,Random Forest,117.50138000000034,-0.01138000000034367
189,27,10,223.36,Random Forest,223.78310000000053,-0.42310000000051673
190,26,3,47.72,Random Forest,48.09519999999984,-0.3751999999998432
191,25,5,114.72,Random Forest,117.00762000000054,-2.287620000000544
192,24,0,54.89,Random Forest,53.176980000000164,1.7130199999998368
193,24,0,52.78,Random Forest,53.20650000000016,-0.42650000000016064
194,23,0,52.95,Random Forest,55.4051200000003,-2.4551200000002993
195,22,12,21.72,Random Forest,21.882400000000064,-0.1624000000000656
196,21,5,119.26,Random Forest,117.19083999999992,2.069160000000082
197,21,5,119.06,Random Forest,117.23340000000002,1.826599999999985
198,20,13,465.11,Random Forest,472.09472000000005,-6.9847200000000385
199,20,4,904.26,Random Forest,911.7060399999962,-7.446039999996174
200,19,12,21.57,Random Forest,21.611459999999955,-0.04145999999995453
